year,GDP_Current,GDP_Constant,Broad_Money
1960-12-31,0.1315089166,182932009390.0,0.0278
1961-12-31,0.1668071896,192861271430.0,0.0277
1962-12-31,0.2131359279,191218051890.0,0.0305
1963-12-31,0.2534708977,181067821330.0,0.0406
1964-12-31,0.359472096,199410530600.0,0.0574
1965-12-31,0.4818600118,220487093700.0,0.0729
1966-12-31,0.6012399793,219032482640.0,0.0959
1967-12-31,0.8004699945,226023992090.0,0.1475
1968-12-31,0.9252899885,236924000870.0,0.1889
1969-12-31,1.0939699411,259857121160.0,0.2284
1970-12-31,1.2001999617,267771442210.0,0.276
1971-12-31,1.664659977,282922301410.0,0.3
1972-12-31,2.7786400318,287529454900.0,0.63
1973-12-31,4.7289600372,295614075960.0,1.1
1974-12-31,6.5193099976,311972780690.0,1.7
1975-12-31,19.402299881,311884142660.0,4.3
1976-12-31,102.33899689,305589536220.0,19.5
1977-12-31,283.90499878,326779566190.0,63.8
1978-12-31,708.61102295,312054471110.0,173.9
1979-12-31,1932.1400146,343955061570.0,499.8
1980-12-31,3840.3999023,349178995840.0,958.4
1981-12-31,7474.2998047,331057342230.0,1749.85
1982-12-31,21852.5,328621888570.0,4642.1
1983-12-31,109490.0,342913961040.0,23021.3
1984-12-31,790920.0,348300243340.0,173802.9
1985-12-31,5305000.0,330226858890.0,917943.4
1986-12-31,9984100.0,350546962680.0,1955360.1
1987-12-31,23332300.0,360028798200.0,5145383.2
1988-12-31,111062000.0,356104724290.0,27929433.6
1989-12-31,3244039936.0,330618488450.0,652203080.0
1990-12-31,68921999360.0,322461423550.0,7913000000.0
1991-12-31,180898005000.0,351912181900.0,19097000000.0
1992-12-31,226638004200.0,379844477800.0,31030000000.0
1993-12-31,236504973300.0,411018234600.0,45453000000.0
1994-12-31,257440000000.0,435006083700.0,53471032000.0
1995-12-31,258031750000.0,422629248800.0,51970875000.0
1996-12-31,272149750000.0,445986656500.0,61752085000.0
1997-12-31,292859000000.0,482160842800.0,77520318000.0
1998-12-31,298948250000.0,500724897600.0,85650721000.0
1999-12-31,283523000000.0,483773071300.0,89150058000.0
2000-12-31,284203750000.0,479956106900.0,90514975371.93
2001-12-31,268696750000.0,458795611600.0,72922287000.0
2002-12-31,312580000000.0,408812193300.0,87294434000.0
2003-12-31,375909500000.0,444939093600.0,113164011000.0
2004-12-31,485115194700.0,485115195200.0,137412015000.0
2005-12-31,582538172900.0,528055942500.0,166974724000.0
2006-12-31,715904271700.0,570549404200.0,200808370000.0
2007-12-31,896980174100.0,621942502600.0,249937394000.0
2008-12-31,1149646090600.0,647176159700.0,270094095000.0
2009-12-31,1247929268900.0,608872876400.0,316009865000.0
2010-12-31,1661720925900.0,670523679400.0,422751817000.0
2011-12-31,2179024103600.0,710781597200.0,531401310000.0
2012-12-31,2637913848200.0,703485989500.0,716870110000.0
2013-12-31,3348308488200.0,720407105300.0,910614093000.0
2014-12-31,4579086425400.0,702306046000.0,1182398044000.0
2015-12-31,5954510895700.0,721487146600.0,1648856767000.0
2016-12-31,8228159556500.0,706477848600.0,2334518369000.0
2017-12-31,10660228494800.0,726389947800.0,3037661976000.0
2018-12-31,14744810677300.0,707377443000.0,4477719706000.0
2019-12-31,21558444149200.0,693223803600.0,5634172641000.0
2020-12-31,27209814143300.0,624591286200.0,9377674125000.0
2021-12-31,46346227353600.0,691535042300.0,14185150774000.0
2022-12-31,82436433708700.0,725810077400.0,26234870759097.8
2023-12-31,189780357045300.0,714556381000.0,67273996081560.8
